Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5273217,-0.1362506,25.414,0.121,0.02,1688891835935000,148,3
55,51.5273216,-0.1362505,25.43,0.144,0.12,1688891835990000,148,3
110,51.5273216,-0.1362504,25.429,0.126,0.15,1688891836045000,148,3
165,51.5273215,-0.1362504,25.44,0.06,0.13,1688891836100000,148,3
220,51.5273215,-0.1362505,25.433,0.075,0.07,1688891836155000,148,3
275,51.5273214,-0.1362505,25.435,0.065,0.08,1688891836210000,148,3
330,51.5273214,-0.1362505,25.435,0.07,0.07,1688891836265000,148,3
385,51.5273213,-0.1362505,25.442,0.08,0.07,1688891836320000,148,3
440,51.5273212,-0.1362505,25.453,0.094,0.08,1688891836375000,148,3
495,51.5273212,-0.1362505,25.444,0.085,0.1,1688891836430000,148,3
550,51.5273212,-0.1362505,25.448,0.066,0.09,1688891836485000,148,3
605,51.5273211,-0.1362506,25.449,0.082,0.07,1688891836540000,148,3
660,51.5273211,-0.1362507,25.448,0.108,0.08,1688891836595000,148,3
715,51.5273211,-0.1362507,25.446,0.062,0.11,1688891836650000,148,3
770,51.527321,-0.1362506,25.449,0.043,0.06,1688891836705000,148,3
825,51.527321,-0.1362505,25.453,0.057,0.05,1688891836760000,148,3
880,51.5273209,-0.1362505,25.463,0.065,0.06,1688891836815000,148,3
935,51.5273208,-0.1362505,25.456,0.098,0.07,1688891836870000,148,3
990,51.5273208,-0.1362505,25.457,0.043,0.1,1688891836925000,148,3
1048,51.5273208,-0.1362505,25.459,0.047,0.05,1688891836983000,148,3
1106,51.5273207,-0.1362506,25.458,0.092,0.05,1688891837041000,148,3
1164,51.5273207,-0.1362507,25.453,0.122,0.09,1688891837099000,148,3
1222,51.5273206,-0.1362507,25.456,0.12,0.12,1688891837157000,148,3
1280,51.5273206,-0.1362507,25.457,0.094,0.12,1688891837215000,148,3
1338,51.5273206,-0.1362508,25.461,0.094,0.09,1688891837273000,148,3
1396,51.5273206,-0.1362508,25.456,0.055,0.1,1688891837331000,148,3
1454,51.5273205,-0.1362507,25.465,0.096,0.06,1688891837389000,148,3
1512,51.5273204,-0.1362506,25.469,0.117,0.1,1688891837447000,148,3
1570,51.5273204,-0.1362506,25.465,0.078,0.12,1688891837505000,148,3
1628,51.5273204,-0.1362507,25.469,0.094,0.08,1688891837563000,148,3
1686,51.5273203,-0.1362508,25.457,0.147,0.1,1688891837621000,148,3
1744,51.5273202,-0.1362507,25.457,0.178,0.15,1688891837679000,148,3
1802,51.5273201,-0.1362506,25.477,0.167,0.18,1688891837737000,148,3
1860,51.52732,-0.1362506,25.471,0.165,0.17,1688891837795000,148,3
1918,51.5273199,-0.1362506,25.464,0.134,0.17,1688891837853000,148,3
1976,51.5273199,-0.1362506,25.466,0.061,0.13,1688891837911000,148,3
2035,51.5273199,-0.1362505,25.467,0.049,0.06,1688891837970000,138,3
2090,51.5273198,-0.1362503,25.477,0.091,0.05,1688891838025000,138,3
2145,51.5273198,-0.1362504,25.46,0.057,0.09,1688891838080000,138,3
2200,51.5273199,-0.1362505,25.468,0.112,0.06,1688891838135000,138,3
2255,51.5273199,-0.1362506,25.469,0.142,0.11,1688891838190000,138,3
2310,51.5273198,-0.1362508,25.467,0.186,0.14,1688891838245000,138,3
2365,51.52732,-0.1362508,25.479,0.189,0.19,1688891838300000,138,3
2420,51.5273201,-0.1362509,25.47,0.211,0.19,1688891838355000,138,3
2475,51.5273201,-0.136251,25.466,0.168,0.21,1688891838410000,138,3
2530,51.52732,-0.1362511,25.454,0.162,0.17,1688891838465000,138,3
2585,51.52732,-0.1362511,25.46,0.124,0.16,1688891838520000,138,3
2640,51.52732,-0.1362511,25.454,0.049,0.12,1688891838575000,138,3
2695,51.52732,-0.1362511,25.451,0.073,0.05,1688891838630000,138,3
2750,51.52732,-0.1362511,25.446,0.051,0.07,1688891838685000,138,3
2805,51.5273201,-0.1362511,25.456,0.087,0.05,1688891838740000,138,3
2860,51.5273201,-0.136251,25.45,0.044,0.09,1688891838795000,138,3
2915,51.5273201,-0.1362511,25.438,0.039,0.04,1688891838850000,138,3
2970,51.5273201,-0.1362511,25.444,0.082,0.04,1688891838905000,138,3
3025,51.52732,-0.1362511,25.442,0.045,0.08,1688891838960000,138,3
3077,51.52732,-0.1362511,25.442,0.042,0.05,1688891839012000,138,3
3129,51.52732,-0.1362509,25.447,0.072,0.04,1688891839064000,138,3
3181,51.5273199,-0.1362508,25.439,0.128,0.07,1688891839116000,138,3
3233,51.5273199,-0.1362508,25.444,0.062,0.13,1688891839168000,138,3
3285,51.5273199,-0.1362508,25.432,0.03,0.06,1688891839220000,138,3
3337,51.5273199,-0.1362508,25.439,0.034,0.03,1688891839272000,138,3
3389,51.5273198,-0.1362507,25.43,0.093,0.03,1688891839324000,138,3
3441,51.5273197,-0.1362507,25.424,0.091,0.09,1688891839376000,138,3
3493,51.5273197,-0.1362506,25.432,0.05,0.09,1688891839428000,138,3
3546,51.5273197,-0.1362505,25.443,0.037,0.05,1688891839481000,138,3
3598,51.5273196,-0.1362505,25.439,0.059,0.04,1688891839533000,138,3
3650,51.5273196,-0.1362505,25.43,0.042,0.06,1688891839585000,138,3
3702,51.5273196,-0.1362506,25.435,0.067,0.04,1688891839637000,138,3
3754,51.5273196,-0.1362505,25.433,0.01,0.07,1688891839689000,138,3
3806,51.5273196,-0.1362504,25.429,0.072,0.01,1688891839741000,138,3
3858,51.5273196,-0.1362503,25.427,0.091,0.07,1688891839793000,138,3
3910,51.5273196,-0.1362502,25.422,0.058,0.09,1688891839845000,138,3
3962,51.5273196,-0.1362503,25.41,0.015,0.06,1688891839897000,138,3
4015,51.5273196,-0.1362502,25.414,0.026,0.02,1688891839950000,138,3
4070,51.5273195,-0.1362502,25.417,0.028,0.03,1688891840005000,138,3
4125,51.5273195,-0.1362501,25.417,0.044,0.03,1688891840060000,138,3
4180,51.5273195,-0.1362501,25.403,0.025,0.04,1688891840115000,138,3
4235,51.5273195,-0.1362501,25.415,0.037,0.03,1688891840170000,138,3
4290,51.5273195,-0.1362502,25.406,0.055,0.04,1688891840225000,138,3
4345,51.5273195,-0.1362502,25.403,0.033,0.06,1688891840280000,138,3
4400,51.5273195,-0.1362501,25.391,0.04,0.03,1688891840335000,138,3
4455,51.5273195,-0.1362501,25.383,0.031,0.04,1688891840390000,138,3
4510,51.5273195,-0.13625,25.385,0.037,0.03,1688891840445000,138,3
4565,51.5273195,-0.13625,25.374,0.038,0.04,1688891840500000,138,3
4620,51.5273195,-0.13625,25.365,0.039,0.04,1688891840555000,138,3
4675,51.5273195,-0.1362499,25.364,0.071,0.04,1688891840610000,138,3
4730,51.5273195,-0.1362499,25.361,0.047,0.07,1688891840665000,138,3
4785,51.5273195,-0.1362499,25.348,0.024,0.05,1688891840720000,138,3
4840,51.5273195,-0.1362499,25.351,0.06,0.03,1688891840775000,138,3
4895,51.5273195,-0.1362498,25.357,0.075,0.06,1688891840830000,138,3
4950,51.5273195,-0.1362498,25.348,0.067,0.07,1688891840885000,138,3
5005,51.5273195,-0.1362498,25.339,0.015,0.07,1688891840940000,138,3
5060,51.5273195,-0.1362498,25.34,0.039,0.02,1688891840995000,138,3
5115,51.5273195,-0.1362497,25.341,0.037,0.04,1688891841050000,138,3
5170,51.5273194,-0.1362497,25.34,0.049,0.04,1688891841105000,138,3
5225,51.5273194,-0.1362497,25.333,0.003,0.05,1688891841160000,138,3
5280,51.5273194,-0.1362497,25.329,0.028,0,1688891841215000,138,3
5335,51.5273193,-0.1362496,25.325,0.045,0.03,1688891841270000,138,3
5390,51.5273193,-0.1362496,25.326,0.039,0.05,1688891841325000,138,3
5445,51.5273193,-0.1362496,25.34,0.027,0.04,1688891841380000,138,3
5500,51.5273193,-0.1362496,25.331,0.013,0.03,1688891841435000,138,3
5555,51.5273194,-0.1362496,25.336,0.027,0.01,1688891841490000,138,3
5610,51.5273194,-0.1362496,25.326,0.034,0.03,1688891841545000,138,3
5665,51.5273193,-0.1362495,25.332,0.019,0.03,1688891841600000,138,3
5720,51.5273193,-0.1362495,25.326,0.043,0.02,1688891841655000,138,3
5775,51.5273193,-0.1362495,25.339,0.045,0.04,1688891841710000,138,3
5830,51.5273193,-0.1362495,25.339,0.031,0.05,1688891841765000,138,3
5885,51.5273193,-0.1362495,25.335,0.015,0.03,1688891841820000,138,3
5940,51.5273193,-0.1362496,25.316,0.041,0.02,1688891841875000,138,3
5995,51.5273193,-0.1362496,25.316,0.029,0.04,1688891841930000,138,3
6056,51.5273193,-0.1362495,25.315,0.011,0.03,1688891841991000,138,3
6117,51.5273193,-0.1362495,25.326,0.015,0.01,1688891842052000,138,3
6179,51.5273193,-0.1362495,25.325,0.027,0.01,1688891842114000,138,3
6240,51.5273193,-0.1362495,25.324,0.024,0.03,1688891842175000,138,3
6302,51.5273193,-0.1362495,25.322,0.017,0.02,1688891842237000,138,3
6363,51.5273193,-0.1362496,25.311,0.012,0.02,1688891842298000,138,3
6425,51.5273193,-0.1362496,25.308,0.039,0.01,1688891842360000,138,3
6486,51.5273193,-0.1362496,25.301,0.026,0.04,1688891842421000,138,3
6548,51.5273192,-0.1362497,25.302,0.029,0.03,1688891842483000,138,3
6609,51.5273192,-0.1362497,25.299,0.022,0.03,1688891842544000,138,3
6671,51.5273192,-0.1362497,25.296,0.014,0.02,1688891842606000,138,3
6732,51.5273192,-0.1362496,25.302,0.039,0.01,1688891842667000,138,3
6794,51.5273192,-0.1362496,25.284,0.023,0.04,1688891842729000,138,3
6855,51.5273192,-0.1362497,25.29,0.028,0.02,1688891842790000,138,3
6917,51.5273192,-0.1362497,25.272,0.05,0.03,1688891842852000,138,3
6978,51.5273192,-0.1362497,25.273,0.031,0.05,1688891842913000,138,3
7040,51.5273191,-0.1362497,25.274,0.05,0.03,1688891842975000,138,3
7095,51.5273191,-0.1362498,25.268,0.056,0.05,1688891843030000,138,3
7150,51.5273191,-0.1362497,25.278,0.024,0.06,1688891843085000,138,3
7205,51.5273191,-0.1362498,25.258,0.051,0.02,1688891843140000,138,3
7260,51.5273191,-0.1362498,25.267,0.021,0.05,1688891843195000,138,3
7315,51.5273191,-0.1362498,25.255,0.058,0.02,1688891843250000,138,3
7370,51.5273191,-0.1362498,25.257,0.04,0.06,1688891843305000,138,3
7425,51.5273191,-0.1362498,25.255,0.041,0.04,1688891843360000,138,3
7480,51.527319,-0.1362499,25.246,0.069,0.04,1688891843415000,138,3
7535,51.527319,-0.1362499,25.243,0.073,0.07,1688891843470000,138,3
7590,51.527319,-0.1362499,25.253,0.065,0.07,1688891843525000,138,3
7645,51.5273191,-0.13625,25.258,0.059,0.06,1688891843580000,138,3
7700,51.527319,-0.13625,25.249,0.016,0.06,1688891843635000,138,3
