Milliseconds,Latitude,Longitude,Altitude,Speed,Speed3D,TS,GpsAccuracy,GpsFix
0,51.5382846,-0.1443008,31.259,0.115,0.18,1688897938900000,127,3
55,51.5382846,-0.1443009,31.303,0.065,0.12,1688897938955000,127,3
110,51.5382846,-0.1443008,31.331,0.136,0.07,1688897939010000,127,3
165,51.5382849,-0.1443007,31.353,0.204,0.14,1688897939065000,127,3
220,51.538285,-0.1443006,31.387,0.186,0.2,1688897939120000,127,3
275,51.5382851,-0.1443007,31.424,0.118,0.19,1688897939175000,127,3
330,51.5382851,-0.1443007,31.463,0.099,0.12,1688897939230000,127,3
385,51.5382854,-0.1443007,31.504,0.175,0.1,1688897939285000,127,3
440,51.5382854,-0.1443007,31.542,0.132,0.18,1688897939340000,127,3
495,51.5382855,-0.1443006,31.549,0.195,0.13,1688897939395000,127,3
550,51.5382856,-0.1443005,31.583,0.184,0.19,1688897939450000,127,3
605,51.5382856,-0.1443005,31.642,0.151,0.18,1688897939505000,127,3
660,51.5382855,-0.1443005,31.718,0.138,0.15,1688897939560000,127,3
715,51.5382857,-0.1443005,31.732,0.152,0.14,1688897939615000,127,3
770,51.5382858,-0.1443004,31.752,0.208,0.15,1688897939670000,127,3
825,51.538286,-0.1443003,31.768,0.234,0.21,1688897939725000,127,3
880,51.5382862,-0.1443002,31.805,0.244,0.23,1688897939780000,127,3
935,51.5382862,-0.1443001,31.834,0.214,0.24,1688897939835000,127,3
990,51.5382862,-0.1443,31.884,0.234,0.21,1688897939890000,134,3
1048,51.5382864,-0.1442998,31.911,0.32,0.23,1688897939948000,134,3
1106,51.5382866,-0.1442997,31.917,0.31,0.32,1688897940006000,134,3
1164,51.5382865,-0.1442996,31.944,0.2,0.31,1688897940064000,134,3
1222,51.5382865,-0.1442996,31.968,0.195,0.2,1688897940122000,134,3
1280,51.5382866,-0.1442994,32.009,0.259,0.2,1688897940180000,134,3
1338,51.5382868,-0.1442993,32.033,0.264,0.26,1688897940238000,134,3
1396,51.538287,-0.1442993,32.038,0.212,0.26,1688897940296000,134,3
1454,51.5382869,-0.1442994,32.05,0.102,0.21,1688897940354000,134,3
1512,51.5382868,-0.1442994,32.065,0.161,0.1,1688897940412000,134,3
1570,51.5382869,-0.1442994,32.095,0.128,0.16,1688897940470000,134,3
1628,51.5382871,-0.1442995,32.123,0.044,0.13,1688897940528000,134,3
1686,51.5382872,-0.1442996,32.139,0.031,0.04,1688897940586000,134,3
1744,51.5382874,-0.1442997,32.161,0.056,0.03,1688897940644000,134,3
1802,51.5382875,-0.1442997,32.192,0.05,0.06,1688897940702000,134,3
1860,51.5382876,-0.1442998,32.229,0.047,0.05,1688897940760000,134,3
1918,51.5382878,-0.1442999,32.242,0.09,0.05,1688897940818000,134,3
1976,51.5382878,-0.1442999,32.281,0.089,0.09,1688897940876000,134,3
2035,51.5382881,-0.1442999,32.294,0.172,0.09,1688897940935000,134,3
2087,51.5382884,-0.1442999,32.249,0.228,0.17,1688897940987000,134,3
2139,51.5382889,-0.1442999,32.244,0.377,0.23,1688897941039000,134,3
2191,51.5382892,-0.1442998,32.287,0.389,0.38,1688897941091000,134,3
2243,51.5382893,-0.1442997,32.312,0.318,0.39,1688897941143000,134,3
2295,51.5382897,-0.1442996,32.3,0.361,0.32,1688897941195000,134,3
2347,51.5382901,-0.1442996,32.286,0.377,0.36,1688897941247000,134,3
2399,51.5382906,-0.1442995,32.29,0.498,0.38,1688897941299000,134,3
2451,51.5382912,-0.1442994,32.306,0.644,0.5,1688897941351000,134,3
2503,51.5382917,-0.1442992,32.349,0.705,0.65,1688897941403000,134,3
2556,51.5382918,-0.1442992,32.379,0.479,0.71,1688897941456000,134,3
2608,51.5382923,-0.1442991,32.344,0.523,0.48,1688897941508000,134,3
2660,51.5382928,-0.1442991,32.307,0.583,0.53,1688897941560000,134,3
2712,51.5382932,-0.1442992,32.321,0.573,0.59,1688897941612000,134,3
2764,51.5382935,-0.1442992,32.359,0.542,0.58,1688897941664000,134,3
2816,51.5382938,-0.144299,32.371,0.551,0.55,1688897941716000,134,3
2868,51.5382943,-0.1442989,32.384,0.632,0.55,1688897941768000,134,3
2920,51.538295,-0.1442988,32.415,0.779,0.64,1688897941820000,134,3
2972,51.5382949,-0.1442986,32.362,0.482,0.78,1688897941872000,134,3
3025,51.538295,-0.1442982,32.368,0.449,0.49,1688897941925000,134,3
3080,51.5382954,-0.1442979,32.372,0.541,0.46,1688897941980000,134,3
3135,51.5382959,-0.1442976,32.394,0.635,0.55,1688897942035000,134,3
3190,51.5382962,-0.1442972,32.42,0.645,0.64,1688897942090000,134,3
3245,51.5382965,-0.1442966,32.427,0.746,0.65,1688897942145000,134,3
3300,51.538297,-0.1442961,32.417,0.852,0.75,1688897942200000,134,3
3355,51.5382977,-0.1442956,32.403,1.032,0.86,1688897942255000,134,3
3410,51.5382982,-0.1442948,32.396,1.143,1.04,1688897942310000,134,3
3465,51.5382988,-0.1442939,32.397,1.288,1.15,1688897942365000,134,3
3520,51.5382993,-0.144293,32.431,1.341,1.29,1688897942420000,134,3
3575,51.5383001,-0.1442921,32.458,1.493,1.34,1688897942475000,134,3
3630,51.5383006,-0.144291,32.477,1.584,1.5,1688897942530000,134,3
3685,51.5383016,-0.1442899,32.442,1.784,1.59,1688897942585000,134,3
3740,51.5383023,-0.1442889,32.467,1.774,1.79,1688897942640000,134,3
3795,51.5383029,-0.1442879,32.494,1.755,1.78,1688897942695000,134,3
3850,51.5383036,-0.1442869,32.535,1.792,1.76,1688897942750000,134,3
3905,51.5383045,-0.144286,32.545,1.804,1.79,1688897942805000,134,3
3960,51.5383054,-0.1442848,32.557,1.97,1.8,1688897942860000,134,3
4015,51.5383063,-0.1442836,32.572,2.1,1.97,1688897942915000,134,3
4070,51.5383071,-0.1442823,32.566,2.139,2.1,1688897942970000,134,3
4125,51.538308,-0.1442813,32.554,2.114,2.14,1688897943025000,134,3
4180,51.5383088,-0.1442801,32.523,2.11,2.12,1688897943080000,134,3
4235,51.5383095,-0.144279,32.521,2.049,2.11,1688897943135000,134,3
4290,51.5383106,-0.1442782,32.526,2.025,2.05,1688897943190000,134,3
4345,51.5383115,-0.1442771,32.57,2.132,2.03,1688897943245000,134,3
4400,51.5383124,-0.1442758,32.583,2.217,2.13,1688897943300000,134,3
4455,51.5383131,-0.1442747,32.563,2.087,2.22,1688897943355000,134,3
4510,51.5383139,-0.1442739,32.508,2.022,2.09,1688897943410000,134,3
4565,51.538315,-0.1442728,32.491,2.128,2.02,1688897943465000,134,3
4620,51.5383158,-0.1442717,32.52,2.129,2.13,1688897943520000,134,3
4675,51.5383165,-0.1442705,32.515,2.084,2.13,1688897943575000,134,3
4730,51.5383172,-0.1442695,32.509,2.003,2.09,1688897943630000,134,3
4785,51.5383182,-0.1442684,32.477,2.096,2.01,1688897943685000,134,3
4840,51.538319,-0.1442673,32.449,2.127,2.1,1688897943740000,134,3
4895,51.5383197,-0.1442664,32.444,1.937,2.13,1688897943795000,134,3
4950,51.5383207,-0.1442657,32.426,1.915,1.94,1688897943850000,134,3
5005,51.5383215,-0.1442647,32.366,1.943,1.92,1688897943905000,134,3
5060,51.5383222,-0.1442638,32.323,1.844,1.95,1688897943960000,134,3
5115,51.5383229,-0.1442631,32.293,1.746,1.85,1688897944015000,134,3
5170,51.5383239,-0.1442626,32.259,1.781,1.75,1688897944070000,134,3
5225,51.5383249,-0.1442617,32.237,1.881,1.79,1688897944125000,134,3
5280,51.5383256,-0.1442607,32.222,1.896,1.89,1688897944180000,134,3
5335,51.5383265,-0.1442596,32.231,2.064,1.91,1688897944235000,134,3
5390,51.5383274,-0.1442586,32.301,2.093,2.07,1688897944290000,134,3
5445,51.538328,-0.1442577,32.339,1.949,2.1,1688897944345000,134,3
5500,51.5383288,-0.1442565,32.342,2.025,1.95,1688897944400000,134,3
5555,51.5383299,-0.1442553,32.317,2.184,2.03,1688897944455000,134,3
5610,51.5383307,-0.1442541,32.296,2.126,2.19,1688897944510000,134,3
5665,51.5383316,-0.1442527,32.184,2.276,2.13,1688897944565000,134,3
5720,51.5383322,-0.1442516,32.274,2.112,2.29,1688897944620000,134,3
5775,51.538333,-0.1442505,32.247,2.079,2.12,1688897944675000,134,3
5830,51.538334,-0.1442495,32.177,2.142,2.09,1688897944730000,134,3
5885,51.5383349,-0.1442486,32.122,2.146,2.15,1688897944785000,134,3
5940,51.5383357,-0.1442474,32.066,2.136,2.16,1688897944840000,134,3
5995,51.5383364,-0.1442459,32.117,2.215,2.15,1688897944895000,134,3
6053,51.5383372,-0.144245,32.073,2.096,2.23,1688897944953000,134,3
6111,51.538338,-0.1442435,32.052,2.216,2.11,1688897945011000,134,3
6169,51.5383388,-0.1442422,32.046,2.25,2.23,1688897945069000,134,3
6227,51.5383398,-0.1442411,32.028,2.251,2.26,1688897945127000,134,3
6285,51.5383406,-0.14424,32.021,2.196,2.27,1688897945185000,134,3
6343,51.5383416,-0.144239,32.05,2.187,2.21,1688897945243000,134,3
6401,51.5383426,-0.144238,32.098,2.198,2.2,1688897945301000,134,3
6459,51.5383436,-0.144237,32.095,2.23,2.21,1688897945359000,134,3
6517,51.5383445,-0.1442357,32.078,2.298,2.24,1688897945417000,134,3
